,date,1. open,2. high,3. low,4. close,5. volume,Ticker,Industry,Sector
0,2018-01-02,195.78,199.5,194.5,199.35,8303752.0,NVDA,Semiconductors,Technology
1,2018-01-03,204.1,213.7,203.75,212.47,22499518.0,NVDA,Semiconductors,Technology
2,2018-01-04,215.76,218.05,212.69,213.59,14346675.0,NVDA,Semiconductors,Technology
3,2018-01-05,214.19,216.91,211.08,215.4,14008768.0,NVDA,Semiconductors,Technology
4,2018-01-08,220.4,225.0,218.58,222.0,21190932.0,NVDA,Semiconductors,Technology
5,2018-01-09,222.22,223.82,218.64,221.94,11750593.0,NVDA,Semiconductors,Technology
6,2018-01-10,218.2,223.82,216.0,223.68,14087612.0,NVDA,Semiconductors,Technology
7,2018-01-11,225.0,226.27,223.21,224.08,9812137.0,NVDA,Semiconductors,Technology
8,2018-01-12,223.6,224.99,221.34,222.98,8931936.0,NVDA,Semiconductors,Technology
9,2018-01-16,224.05,227.51,216.69,220.11,17104812.0,NVDA,Semiconductors,Technology
10,2018-01-17,220.7,225.12,216.9,224.72,13112629.0,NVDA,Semiconductors,Technology
11,2018-01-18,223.94,226.64,222.68,224.44,10071489.0,NVDA,Semiconductors,Technology
12,2018-01-19,228.09,231.09,227.0,230.11,14544968.0,NVDA,Semiconductors,Technology
13,2018-01-22,230.43,233.76,228.1,233.69,9614659.0,NVDA,Semiconductors,Technology
14,2018-01-23,235.85,239.83,235.1,238.91,11293069.0,NVDA,Semiconductors,Technology
15,2018-01-24,239.04,240.49,233.55,235.8,14406492.0,NVDA,Semiconductors,Technology
16,2018-01-25,238.0,239.75,235.75,236.35,10105341.0,NVDA,Semiconductors,Technology
17,2018-01-26,238.12,243.34,237.6,243.33,12755309.0,NVDA,Semiconductors,Technology
18,2018-01-29,242.74,248.11,240.61,246.85,11282948.0,NVDA,Semiconductors,Technology
19,2018-01-30,241.11,246.42,238.41,242.72,14133180.0,NVDA,Semiconductors,Technology
20,2018-01-31,245.77,249.27,244.45,245.8,11818115.0,NVDA,Semiconductors,Technology
21,2018-02-01,238.52,246.9,238.06,240.5,12716271.0,NVDA,Semiconductors,Technology
22,2018-02-02,237.0,237.97,231.17,233.52,17794503.0,NVDA,Semiconductors,Technology
23,2018-02-05,227.0,233.23,205.0,213.7,27907654.0,NVDA,Semiconductors,Technology
24,2018-02-06,204.4,225.7,204.0,225.58,26591746.0,NVDA,Semiconductors,Technology
